timestamp,product_id,inventory_level,demand,competitor_price,price_sold
2024-03-10,p-001,128,0.09,15.36,12.3
2024-01-24,p-041,76,1.0,84.04,85.42
2024-01-17,p-036,183,0.47,81.54,66.22
2024-02-02,p-046,178,0.66,38.45,32.62
2024-02-22,p-022,97,0.07,94.29,77.82
2024-02-29,p-012,129,0.04,86.89,68.72
2024-04-23,p-036,79,0.2,26.71,23.12
2024-02-10,p-043,14,0.82,71.61,75.13
2024-04-14,p-028,137,1.0,55.2,52.4
2024-02-13,p-041,32,0.76,86.3,87.88
2024-04-11,p-023,24,0.69,87.97,89.12
2024-01-01,p-024,69,0.78,65.42,64.32
2024-01-05,p-000,12,0.31,81.04,77.02
2024-03-15,p-012,85,0.96,81.64,81.57
2024-04-18,p-041,20,0.19,27.16,24.97
2024-04-09,p-032,8,0.57,92.48,93.02
2024-02-09,p-002,138,0.92,67.75,63.31
2024-01-04,p-008,48,0.04,81.03,70.04
2024-04-28,p-015,191,1.0,27.16,24.17
2024-01-13,p-005,158,0.65,23.49,20.37
2024-01-11,p-042,134,0.69,64.54,58.02
2024-01-04,p-037,132,0.4,42.11,35.82
2024-02-21,p-026,93,0.64,85.63,79.84
2024-03-05,p-031,38,0.83,46.1,47.28
2024-04-24,p-003,144,0.55,54.38,47.01
2024-04-15,p-003,51,0.63,37.84,36.84
2024-03-19,p-027,115,0.59,64.14,57.79
2024-03-10,p-005,141,0.37,12.27,10.27
2024-02-03,p-028,20,0.73,27.68,28.37
2024-02-18,p-016,108,0.0,86.24,69.23
2024-04-14,p-004,69,0.91,52.47,52.86
2024-01-21,p-030,3,0.27,48.04,45.69
2024-03-30,p-032,164,0.28,55.33,44.22
2024-03-27,p-008,73,0.17,62.07,53.74
2024-01-29,p-014,142,0.16,97.35,77.85
2024-04-02,p-017,134,0.81,69.26,63.7
2024-03-18,p-049,25,0.51,59.88,58.5
2024-03-15,p-026,158,0.01,79.39,60.3
2024-01-01,p-001,171,0.55,39.98,33.47
2024-01-03,p-017,112,0.47,33.77,29.81
2024-04-04,p-014,168,0.68,36.05,31.07
2024-01-06,p-048,17,0.51,35.46,34.93
2024-03-02,p-008,23,0.29,34.63,32.41
2024-04-29,p-005,199,0.42,24.77,19.52
2024-01-06,p-049,10,0.67,94.36,96.59
2024-02-17,p-017,32,0.26,92.63,85.36
2024-01-17,p-038,70,0.0,56.45,47.25
2024-02-10,p-046,78,0.93,96.34,96.46
2024-03-14,p-024,156,0.61,87.48,75.46
2024-04-13,p-017,97,0.24,22.98,19.67
2024-03-21,p-032,3,0.23,52.06,49.1
2024-03-05,p-000,198,0.6,52.71,43.12
2024-02-26,p-045,105,0.75,67.88,63.79
2024-03-28,p-045,154,0.28,21.3,17.23
2024-01-28,p-045,192,0.22,86.16,65.72
2024-03-13,p-003,168,0.77,94.23,82.63
2024-04-26,p-026,153,0.67,29.23,25.6
2024-02-04,p-017,189,0.85,11.32,9.82
2024-03-13,p-048,183,0.61,58.8,49.1
2024-04-03,p-013,10,0.16,78.22,72.17
2024-04-29,p-024,196,0.05,84.4,61.75
2024-04-04,p-005,3,0.51,88.47,88.38
2024-01-19,p-020,41,1.0,70.58,74.45
2024-03-22,p-015,158,0.89,83.44,75.74
2024-03-10,p-009,186,0.54,31.99,26.25
2024-02-20,p-034,15,0.49,86.16,84.7
2024-01-02,p-015,105,0.89,59.18,57.1
2024-03-29,p-007,7,0.0,54.92,49.08
2024-04-04,p-035,22,0.99,20.38,21.88
2024-01-31,p-042,120,0.49,40.15,35.26
2024-01-17,p-038,97,0.22,15.88,13.54
2024-03-15,p-045,170,0.32,24.66,19.73
2024-04-24,p-023,44,0.6,48.56,47.35
2024-01-12,p-017,130,0.61,30.51,27.13
2024-04-12,p-002,173,0.87,92.64,82.28
2024-04-29,p-007,183,0.71,83.73,71.28
2024-02-25,p-021,30,0.34,36.69,34.45
2024-03-19,p-020,10,0.0,75.75,67.49
2024-04-15,p-007,91,0.0,39.44,32.27
2024-04-01,p-018,110,0.32,40.35,34.62
2024-04-26,p-032,8,0.35,83.61,80.45
2024-03-08,p-028,81,0.23,94.19,81.89
2024-01-20,p-045,141,0.32,29.81,24.68
2024-03-09,p-020,116,0.5,39.98,35.34
2024-02-20,p-030,52,0.14,47.4,41.7
2024-01-30,p-036,162,0.63,14.31,12.3
2024-04-06,p-045,100,0.38,12.36,10.86
2024-03-09,p-004,114,0.32,45.63,38.97
2024-01-05,p-027,20,0.64,48.2,48.56
2024-01-31,p-033,73,0.01,34.48,28.83
2024-03-13,p-026,170,0.42,14.77,12.06
2024-01-12,p-040,80,0.6,42.94,40.29
2024-01-05,p-010,1,0.3,45.3,43.44
2024-04-18,p-015,72,0.74,39.51,38.43
2024-03-16,p-033,87,0.5,55.08,50.29
2024-01-15,p-021,166,0.18,83.16,64.92
2024-03-14,p-004,191,0.47,60.06,48.3
2024-03-10,p-033,132,0.78,93.85,86.02
2024-04-03,p-032,168,0.85,77.63,69.11
2024-02-22,p-027,25,0.33,40.59,38.23
2024-03-06,p-036,181,0.25,49.43,38.46
2024-01-03,p-016,142,0.06,11.05,8.65
2024-04-07,p-044,14,0.09,65.28,59.09
2024-04-01,p-045,39,0.69,20.99,20.94
2024-01-14,p-009,64,0.47,89.84,83.59
2024-01-22,p-007,108,0.76,76.97,72.23
2024-02-28,p-001,21,0.35,77.75,73.83
2024-03-20,p-019,65,0.99,47.89,49.17
2024-01-17,p-028,193,0.67,88.07,73.49
2024-02-11,p-000,132,0.32,77.73,65.04
2024-03-25,p-028,87,0.03,56.38,46.64
2024-03-25,p-030,108,0.57,49.53,44.8
2024-01-21,p-024,101,0.16,55.89,46.83
2024-04-11,p-027,19,0.37,15.81,15.11
2024-03-15,p-000,116,1.0,53.96,52.47
2024-03-25,p-040,30,0.0,40.91,35.71
2024-04-17,p-004,89,0.35,73.01,64.52
2024-03-30,p-041,49,0.19,95.67,85.34
2024-03-22,p-007,95,0.89,30.9,30.15
2024-03-17,p-000,81,0.6,37.67,35.31
2024-03-13,p-030,101,0.53,35.67,32.26
2024-03-21,p-032,198,0.53,91.81,74.07
2024-04-07,p-031,173,0.82,19.86,17.48
2024-01-29,p-013,95,0.47,32.95,29.64
2024-04-07,p-031,18,0.31,60.05,56.73
2024-04-23,p-011,37,0.75,51.88,52.46
2024-02-14,p-042,28,0.31,40.58,37.94
2024-01-21,p-004,100,0.64,38.07,35.22
2024-03-13,p-020,133,0.29,27.49,22.83
2024-03-10,p-047,177,0.37,48.66,39.01
2024-02-03,p-031,149,0.95,23.05,21.38
2024-03-27,p-031,151,0.61,19.93,17.29
2024-02-05,p-025,182,0.66,56.43,47.64
2024-01-30,p-028,29,0.45,51.09,49.11
2024-03-10,p-030,10,0.0,74.9,66.74
2024-01-18,p-040,117,0.58,51.39,46.1
2024-03-22,p-023,11,0.19,92.29,85.62
2024-03-24,p-037,158,0.08,10.83,8.35
2024-04-17,p-002,116,0.74,94.88,87.9
2024-02-19,p-011,0,0.74,27.43,28.75
2024-03-20,p-018,177,0.48,77.71,63.7
2024-01-15,p-039,68,0.4,28.05,25.62
2024-03-06,p-020,15,0.45,63.71,62.13
2024-04-12,p-048,90,0.42,11.08,9.92
2024-02-15,p-005,76,1.0,81.74,83.08
2024-01-11,p-037,24,0.33,68.38,64.47
2024-02-21,p-021,32,0.45,53.2,50.98
2024-04-23,p-027,194,0.15,68.19,51.11
2024-01-07,p-009,182,0.96,56.36,50.34
2024-03-19,p-009,8,0.08,14.47,13.15
2024-01-30,p-015,149,0.53,89.11,76.29
2024-03-29,p-046,28,0.77,10.74,11.0
2024-02-01,p-002,71,0.0,55.91,46.75
2024-02-06,p-001,119,0.28,29.06,24.48
2024-01-13,p-047,60,0.81,68.34,68.22
2024-03-29,p-013,199,0.61,35.36,28.95
2024-03-15,p-018,66,0.0,39.75,33.41
2024-02-20,p-040,197,0.0,28.01,20.24
2024-01-14,p-045,148,0.27,88.76,72.14
2024-02-20,p-023,22,0.21,69.66,64.18
2024-01-26,p-022,96,0.44,24.85,22.19
2024-04-12,p-018,147,0.55,28.16,24.26
2024-03-11,p-003,87,0.0,17.72,14.56
2024-01-22,p-006,86,1.0,73.06,73.45
2024-01-27,p-036,152,0.29,54.9,44.6
2024-02-01,p-012,2,0.32,87.63,84.31
2024-01-11,p-047,120,0.32,41.06,34.83
2024-01-04,p-017,123,0.45,55.83,48.47
2024-01-02,p-014,131,0.76,60.94,55.71
2024-03-09,p-036,40,0.54,93.06,90.05
2024-01-27,p-049,58,0.95,59.75,61.35
2024-03-28,p-046,79,0.48,84.35,77.38
2024-03-17,p-029,63,0.49,68.57,64.12
2024-02-26,p-018,78,0.64,72.2,68.43
2024-04-29,p-049,148,0.29,27.03,22.06
2024-01-05,p-007,39,0.75,84.07,84.83
2024-03-27,p-034,92,0.68,97.89,92.08
2024-03-14,p-034,2,0.52,60.96,61.08
2024-04-02,p-024,58,0.42,83.96,77.82
2024-02-09,p-041,49,0.0,93.98,80.44
2024-01-22,p-040,45,0.47,37.16,35.27
2024-02-05,p-045,71,0.85,68.71,68.3
2024-04-05,p-000,56,0.28,15.95,14.39
2024-03-01,p-000,56,0.74,86.66,85.73
2024-02-11,p-015,127,0.56,73.0,64.49
2024-01-20,p-004,24,0.22,84.22,77.6
2024-04-11,p-016,197,0.82,31.61,27.01
2024-04-09,p-048,35,1.0,93.09,98.82
2024-02-25,p-047,154,0.48,80.8,68.08
2024-01-12,p-048,121,0.65,85.77,77.65
2024-02-27,p-003,66,0.7,36.26,35.22
2024-03-20,p-042,143,0.2,67.84,54.65
2024-01-28,p-017,3,1.0,68.28,74.88
2024-02-24,p-036,128,0.61,98.33,87.63
2024-02-14,p-040,84,0.11,74.06,62.55
2024-04-11,p-001,129,0.46,44.34,38.31
2024-03-31,p-018,160,0.67,58.74,51.02
2024-02-19,p-044,187,0.09,86.36,64.45
2024-02-14,p-003,125,0.25,63.59,52.86
2024-01-08,p-045,101,0.16,88.94,74.52
2024-04-05,p-034,132,0.45,52.94,45.49
2024-01-08,p-037,9,0.27,67.59,63.9
2024-02-28,p-013,141,0.0,50.24,38.84
2024-04-29,p-009,188,0.53,40.07,32.73
2024-04-15,p-020,183,0.66,70.01,59.03
2024-01-13,p-010,138,0.88,53.71,49.82
2024-03-19,p-044,119,0.12,55.29,45.01
2024-03-21,p-029,18,0.32,20.91,19.79
2024-02-15,p-000,157,0.98,99.93,92.33
2024-01-04,p-027,145,0.28,31.06,25.39
2024-04-24,p-048,137,0.96,65.3,61.54
2024-04-27,p-033,115,0.33,40.26,34.42
2024-03-30,p-037,60,0.52,75.21,70.98
2024-01-07,p-028,146,0.26,68.49,55.68
2024-02-23,p-040,86,0.44,17.13,15.47
2024-03-18,p-038,28,0.66,95.6,95.9
2024-03-10,p-016,158,0.25,32.16,25.72
2024-01-19,p-005,57,0.58,50.41,48.3
2024-03-08,p-001,11,0.4,64.17,62.19
2024-03-24,p-008,46,0.16,88.06,78.3
2024-01-22,p-037,142,0.63,21.4,18.84
2024-04-14,p-025,109,0.49,82.18,73.08
2024-02-27,p-049,102,1.0,14.5,14.32
2024-02-13,p-011,32,0.49,48.04,46.41
2024-03-19,p-028,36,0.81,10.69,10.94
2024-04-17,p-029,178,0.52,44.66,36.86
2024-04-16,p-039,42,0.48,48.26,46.05
2024-02-29,p-003,75,0.18,12.58,10.89
2024-02-18,p-030,110,0.87,18.03,17.23
2024-03-22,p-032,79,0.19,45.62,39.41
2024-01-14,p-039,94,0.29,39.58,34.35
2024-04-03,p-032,181,0.37,66.78,53.27
2024-01-04,p-015,39,0.81,37.81,38.59
2024-03-10,p-017,2,0.72,90.41,94.2
2024-02-23,p-021,31,0.71,70.3,70.98
2024-03-05,p-021,15,1.0,75.01,81.27
2024-04-12,p-027,62,0.8,31.28,31.1
2024-01-18,p-020,17,0.27,30.67,28.76
2024-01-13,p-047,77,0.24,83.63,73.18
2024-02-22,p-023,72,0.59,65.05,61.45
2024-02-06,p-039,5,0.29,56.36,53.72
2024-04-15,p-048,145,0.85,33.08,30.26
2024-01-19,p-034,197,0.73,35.78,30.05
2024-03-18,p-034,4,0.46,53.53,52.89
2024-01-26,p-031,22,0.52,47.71,46.85
2024-04-11,p-023,111,0.0,89.71,71.78
2024-01-11,p-049,39,0.0,15.88,13.73
2024-03-13,p-007,20,0.56,42.78,42.43
2024-03-03,p-015,93,0.51,91.7,83.34
2024-03-24,p-044,187,0.56,91.04,74.9
2024-04-01,p-035,13,0.02,56.79,50.67
2024-01-19,p-023,131,0.42,12.06,10.31
2024-04-27,p-036,7,0.58,33.92,34.22
2024-04-10,p-043,133,0.39,92.53,78.46
2024-04-10,p-048,49,0.8,99.29,100.09
2024-03-21,p-024,30,0.88,37.35,38.98
2024-02-04,p-039,23,0.48,97.49,94.87
2024-04-09,p-029,195,0.73,29.38,24.74
2024-03-08,p-040,109,0.24,73.2,61.83
2024-02-11,p-025,144,0.53,86.15,74.19
2024-02-18,p-016,76,0.44,51.27,46.8
2024-02-26,p-012,40,0.0,83.45,72.1
2024-02-24,p-012,5,0.71,52.93,54.88
2024-03-03,p-031,102,0.31,71.72,61.96
2024-01-23,p-031,108,0.45,50.68,44.75
2024-01-28,p-018,2,0.37,75.25,73.15
2024-04-13,p-044,170,0.44,60.29,49.44
2024-02-10,p-007,161,0.17,58.78,46.06
2024-01-19,p-039,43,1.0,94.71,99.7
2024-04-27,p-013,100,0.45,85.34,76.04
2024-02-27,p-047,79,0.44,31.13,28.33
2024-04-17,p-026,181,0.06,42.88,32.03
2024-02-15,p-024,157,0.31,50.0,40.55
2024-04-09,p-026,161,0.54,32.88,27.81
2024-01-16,p-029,95,0.69,58.07,54.55
2024-03-07,p-042,43,0.15,34.69,30.87
2024-01-07,p-022,71,0.0,48.07,40.19
2024-04-27,p-009,145,0.52,50.53,43.38
2024-01-23,p-044,103,0.89,84.5,81.71
2024-03-09,p-037,13,0.12,70.05,63.88
2024-03-09,p-048,27,0.24,34.31,31.65
2024-04-09,p-003,126,0.27,76.58,63.85
2024-03-08,p-017,128,0.59,39.07,34.68
2024-02-13,p-033,130,0.55,41.08,36.1
2024-02-15,p-008,45,1.0,54.54,57.29
2024-03-01,p-008,29,0.39,59.62,56.62
2024-02-21,p-025,15,0.23,97.84,91.17
2024-01-03,p-015,12,0.2,94.12,87.41
2024-03-27,p-002,14,0.05,77.45,69.49
2024-02-21,p-032,195,0.77,51.26,43.49
2024-01-24,p-002,23,0.63,14.31,14.34
2024-02-18,p-028,179,0.0,85.67,63.3
2024-04-05,p-004,180,0.18,29.05,22.3
2024-02-25,p-034,123,0.61,93.06,83.41
2024-04-13,p-001,133,0.53,90.12,78.6
2024-03-16,p-000,38,0.89,72.98,75.68
2024-04-01,p-004,141,0.74,63.78,57.42
2024-02-22,p-017,80,0.65,78.57,74.45
2024-03-02,p-047,77,0.0,92.82,77.11
2024-01-21,p-026,92,0.47,26.27,23.71
2024-03-03,p-017,39,0.52,40.75,39.32
2024-03-09,p-025,92,0.32,20.88,18.28
2024-04-19,p-013,61,0.8,57.6,57.33
2024-01-24,p-015,33,1.0,60.23,64.07
2024-01-15,p-005,83,0.19,79.8,68.64
2024-01-03,p-025,89,0.41,98.39,88.02
2024-02-28,p-038,20,0.55,38.9,38.5
2024-04-29,p-042,17,0.43,59.22,57.4
2024-02-10,p-002,186,0.66,74.26,62.38
2024-03-10,p-031,182,0.0,38.72,28.51
2024-01-25,p-036,142,0.63,30.94,27.24
2024-04-24,p-003,33,0.85,55.36,57.28
2024-03-11,p-008,10,0.08,88.83,80.55
2024-02-21,p-027,161,0.0,21.66,16.36
2024-02-25,p-048,112,0.96,29.14,28.26
2024-01-03,p-017,83,0.34,38.9,34.53
2024-04-26,p-048,69,0.51,97.7,91.14
2024-03-19,p-021,156,0.38,26.55,21.87
2024-03-25,p-023,71,0.43,93.45,85.6
2024-02-22,p-005,35,0.95,75.6,79.52
2024-03-14,p-012,146,0.82,38.66,35.13
2024-02-06,p-028,195,0.72,44.35,37.27
2024-01-05,p-023,113,0.92,54.2,52.11
2024-04-08,p-032,122,0.45,99.72,86.68
2024-03-10,p-018,123,0.25,86.0,71.65
2024-04-13,p-006,28,0.56,24.23,23.83
2024-03-17,p-012,118,0.28,83.01,69.99
2024-01-16,p-041,23,0.77,16.47,16.96
2024-04-16,p-017,30,0.0,63.04,55.03
2024-04-13,p-041,180,0.74,56.07,48.18
2024-01-19,p-026,62,0.23,98.38,87.3
2024-04-08,p-038,127,0.24,89.35,73.95
2024-02-09,p-003,35,0.93,28.63,30.0
2024-04-10,p-024,37,0.26,41.74,38.27
2024-03-23,p-021,82,0.37,22.23,19.88
2024-04-09,p-024,130,0.56,95.24,83.85
2024-01-30,p-008,116,0.54,12.99,11.58
2024-01-21,p-018,8,0.25,85.27,80.36
2024-03-16,p-003,26,0.45,69.6,67.11
2024-02-28,p-015,75,1.0,39.31,40.0
2024-02-12,p-030,157,0.51,15.92,13.45
2024-02-24,p-031,180,0.0,59.86,44.18
2024-04-24,p-014,120,0.58,96.15,85.97
2024-02-26,p-018,42,0.0,65.47,56.45
2024-03-07,p-036,112,1.0,78.3,76.48
2024-01-18,p-045,27,0.05,69.34,61.4
2024-04-24,p-005,160,0.78,78.17,69.34
2024-04-10,p-047,25,0.31,74.55,69.92
2024-04-03,p-002,150,0.1,56.62,44.28
2024-03-31,p-011,80,0.34,70.81,63.06
2024-03-06,p-024,10,0.57,23.69,23.78
2024-02-14,p-022,120,0.53,96.12,85.09
2024-03-24,p-019,158,0.04,94.95,72.59
2024-01-29,p-041,17,0.21,46.72,43.26
2024-01-29,p-047,82,0.23,17.63,15.31
2024-02-01,p-011,177,0.41,54.13,43.75
2024-02-16,p-013,191,0.47,66.27,53.29
2024-04-18,p-049,138,0.17,84.14,67.74
2024-04-06,p-007,85,0.62,32.25,30.22
2024-03-24,p-007,66,0.14,53.86,46.68
2024-02-07,p-049,81,0.6,19.05,17.86
2024-02-29,p-030,138,0.32,83.59,69.46
2024-02-18,p-005,84,0.69,67.35,64.04
2024-01-19,p-031,46,0.44,56.95,53.68
2024-02-29,p-009,170,0.44,78.0,63.96
2024-02-14,p-001,165,0.21,65.46,51.49
2024-01-08,p-022,138,0.64,57.01,50.52
2024-03-17,p-004,120,0.52,27.33,24.15
2024-01-11,p-009,199,0.81,94.85,80.69
2024-01-18,p-040,15,0.62,18.16,18.32
2024-04-19,p-032,138,0.31,24.87,20.62
2024-04-04,p-040,31,0.44,93.25,89.27
2024-01-27,p-033,82,0.53,98.44,90.91
2024-03-06,p-046,146,0.54,78.11,67.24
2024-03-02,p-012,91,0.0,75.79,62.0
2024-03-28,p-011,92,0.8,58.75,56.55
2024-02-01,p-000,81,0.66,97.95,92.9
2024-03-29,p-044,144,0.3,54.12,44.47
2024-03-19,p-031,194,0.55,28.88,23.51
2024-02-05,p-008,0,0.81,37.01,39.3
2024-03-10,p-041,30,0.39,49.66,47.11
2024-04-07,p-008,182,0.3,41.47,32.57
2024-04-19,p-020,190,0.36,27.16,21.38
2024-04-17,p-045,182,0.52,15.1,12.4
2024-02-27,p-013,183,0.29,62.38,48.82
2024-03-05,p-002,165,0.42,75.13,61.73
2024-04-11,p-014,21,0.56,61.45,60.88
2024-03-05,p-033,160,0.55,81.2,68.89
2024-01-01,p-049,182,0.67,51.22,43.32
2024-02-16,p-031,1,0.0,84.21,75.71
2024-03-19,p-019,115,0.67,52.98,48.48
2024-03-08,p-041,61,0.41,29.88,27.55
2024-03-14,p-011,121,0.72,87.54,80.33
2024-03-20,p-043,1,0.75,96.48,101.2
2024-02-17,p-043,150,0.48,21.5,18.2
2024-02-16,p-049,137,0.31,18.88,15.67
2024-03-03,p-046,124,0.54,47.27,41.74
2024-01-24,p-000,60,0.48,46.77,43.79
2024-03-14,p-046,149,0.0,93.99,71.99
2024-03-01,p-019,59,0.75,61.09,60.36
2024-01-10,p-039,56,0.53,24.27,23.05
2024-03-06,p-020,71,0.51,29.21,27.19
2024-02-15,p-002,113,0.42,72.87,63.6
2024-01-30,p-029,58,0.37,17.24,15.82
2024-01-11,p-048,17,0.79,35.48,36.9
2024-01-12,p-031,48,0.65,91.82,90.04
2024-01-04,p-014,12,0.6,11.02,11.11
2024-02-21,p-000,163,0.71,64.58,56.32
2024-03-16,p-030,114,0.73,38.28,35.48
2024-04-26,p-025,44,0.61,83.3,81.39
2024-01-27,p-016,76,0.31,26.54,23.59
2024-01-26,p-032,157,0.65,38.54,33.46
2024-03-13,p-006,93,0.78,95.96,91.91
2024-01-13,p-033,114,0.56,88.28,79.15
2024-01-27,p-012,3,0.87,67.99,72.8
2024-01-30,p-020,198,0.34,93.65,72.7
2024-04-21,p-010,199,0.33,56.06,43.38
2024-01-04,p-025,58,0.58,26.49,25.35
2024-02-20,p-017,177,0.48,62.13,50.93
2024-01-13,p-016,64,0.72,59.51,58.15
2024-03-27,p-031,161,0.53,93.01,78.5
2024-03-17,p-049,171,0.71,32.3,27.9
2024-03-10,p-030,118,0.38,66.73,57.44
2024-03-03,p-004,38,0.89,36.52,37.87
2024-01-01,p-010,148,0.51,68.11,58.15
2024-01-14,p-023,81,0.51,20.71,19.07
2024-01-19,p-043,189,1.0,45.93,40.97
2024-03-05,p-035,54,0.47,41.35,38.88
2024-04-04,p-020,42,0.05,32.08,27.97
2024-02-25,p-009,129,0.67,22.91,20.63
2024-02-11,p-019,169,0.7,11.24,9.71
2024-03-23,p-020,141,0.32,85.63,70.91
2024-01-13,p-013,134,0.88,54.75,51.02
2024-03-05,p-033,115,0.4,73.41,63.67
2024-01-31,p-013,181,0.7,79.83,68.0
2024-01-01,p-005,178,0.42,51.15,41.37
2024-04-09,p-015,162,0.39,93.34,76.5
2024-04-29,p-002,57,0.7,18.55,18.19
2024-03-31,p-037,25,0.44,48.24,46.47
2024-01-28,p-010,148,0.54,21.82,18.74
2024-04-06,p-027,77,0.62,28.27,26.72
2024-03-16,p-040,161,0.47,90.82,75.74
2024-04-23,p-018,75,0.97,27.69,28.02
2024-01-07,p-008,3,0.0,65.95,59.18
2024-02-09,p-009,25,0.43,36.84,35.42
2024-01-27,p-028,95,0.95,77.53,76.48
2024-02-14,p-028,156,0.44,73.71,61.46
2024-02-29,p-030,19,0.49,63.01,61.69
2024-02-02,p-020,141,0.59,83.13,72.69
2024-03-28,p-033,67,0.53,85.98,80.7
2024-01-22,p-034,197,0.29,56.35,43.35
2024-04-26,p-007,42,0.72,23.6,23.6
2024-04-10,p-023,150,0.35,45.75,37.72
2024-01-11,p-009,184,0.59,83.45,69.32
2024-03-28,p-010,17,0.64,39.21,39.62
2024-02-18,p-043,166,0.58,51.66,43.77
2024-03-16,p-032,25,0.68,88.28,89.17
2024-04-28,p-021,124,0.0,94.98,74.88
2024-04-26,p-024,110,0.56,99.9,89.98
2024-04-28,p-034,74,0.72,18.95,18.32
2024-01-18,p-043,143,0.59,97.48,85.04
2024-01-15,p-035,86,0.41,11.82,10.61
2024-02-24,p-042,103,1.0,84.3,83.18
2024-01-31,p-015,158,0.52,24.33,20.57
2024-02-20,p-009,6,0.53,78.37,78.37
2024-03-31,p-016,111,0.29,11.26,9.59
2024-01-22,p-006,169,0.13,22.39,17.23
2024-04-26,p-012,181,0.59,98.82,82.39
2024-02-24,p-002,106,0.55,53.59,48.39
2024-03-26,p-034,104,0.91,47.0,45.57
2024-02-09,p-015,7,0.49,34.51,34.2
2024-02-18,p-009,25,0.98,25.28,27.01
2024-02-15,p-006,85,0.69,81.96,77.84
2024-04-05,p-034,179,0.39,33.82,27.16
2024-04-22,p-044,185,0.58,24.65,20.41
2024-02-09,p-021,31,0.2,82.37,75.03
2024-03-04,p-036,130,0.05,34.07,26.97
2024-04-14,p-028,144,0.29,99.44,81.55
2024-04-23,p-025,57,0.7,79.9,78.36
2024-02-09,p-024,41,0.37,63.71,59.51
2024-03-03,p-040,59,1.0,37.44,38.75
2024-01-24,p-023,198,0.19,73.07,54.97
2024-04-10,p-021,145,0.51,48.41,41.47
2024-02-22,p-002,200,0.72,58.17,48.58
2024-03-23,p-023,119,1.0,42.18,40.88
2024-01-21,p-040,151,0.38,89.91,74.5
